Time,Type,Count,Average,Median,Percentile90,Percentile99,Maximum 
22:54:28,103,32,214.53125,214.0,237.8,288.0,288.0
22:54:28,109,2,254.5,254.5,266.0,266.0,266.0
22:54:28,111,1,231.0,231.0,231.0,231.0,231.0
22:54:29,129,2,260.0,260.0,260.0,260.0,260.0
22:54:29,101,44,244.4090909090909,241.0,264.5,288.0,288.0
22:54:29,103,41,228.609756097561,210.0,266.0000000000001,548.0,548.0
22:54:29,109,4,273.5,270.0,299.0,299.0,299.0
22:54:29,111,5,232.4,220.0,255.0,255.0,255.0
22:54:30,101,72,247.05555555555554,243.0,273.8,324.0,324.0
22:54:30,103,73,218.986301369863,212.0,256.6,437.0,437.0
22:54:30,109,1,242.0,242.0,242.0,242.0,242.0
22:54:30,111,1,198.0,198.0,198.0,198.0,198.0
22:54:31,101,56,245.19642857142858,242.5,268.8,325.0,325.0
22:54:31,103,49,226.44897959183675,215.0,279.0,329.0,329.0
22:54:31,109,14,284.2857142857143,274.0,367.0,401.0,401.0
22:54:31,111,14,230.64285714285714,233.5,260.0,262.0,262.0
22:54:32,129,1,244.0,244.0,244.0,244.0,244.0
22:54:32,101,57,249.12280701754386,244.0,285.6,315.0,315.0
22:54:32,103,57,212.24561403508773,208.0,252.0,356.0,356.0
22:54:32,109,10,258.3,241.0,343.3,348.0,348.0
22:54:32,111,11,250.1818181818182,243.0,314.40000000000003,320.0,320.0
22:54:33,129,1,246.0,246.0,246.0,246.0,246.0
22:54:33,101,43,254.74418604651163,244.0,296.8,465.0,465.0
22:54:33,103,44,219.04545454545453,214.5,251.0,330.0,330.0
22:54:33,109,3,259.3333333333333,268.0,278.0,278.0,278.0
22:54:33,111,2,221.5,221.5,222.0,222.0,222.0
22:54:34,101,44,246.8181818181818,241.0,279.5,353.0,353.0
22:54:34,103,59,215.64406779661016,210.0,251.0,355.0,355.0
22:54:34,109,3,244.0,245.0,246.0,246.0,246.0
22:54:34,111,2,221.0,221.0,224.0,224.0,224.0
22:54:35,101,41,256.219512195122,242.0,270.8,625.0,625.0
22:54:35,103,41,213.9512195121951,211.0,270.60000000000025,328.0,328.0
22:54:35,109,4,261.75,255.5,293.0,293.0,293.0
22:54:35,111,4,218.25,209.0,255.0,255.0,255.0
22:54:36,129,1,263.0,263.0,263.0,263.0,263.0
22:54:36,101,38,243.39473684210526,242.0,267.2,308.0,308.0
22:54:36,103,40,219.3,212.5,231.8,511.0,511.0
22:54:37,129,1,352.0,352.0,352.0,352.0,352.0
22:54:37,101,43,249.7906976744186,246.0,277.8,441.0,441.0
22:54:37,103,42,219.33333333333334,211.5,298.9000000000001,333.0,333.0
22:54:37,109,4,262.5,253.0,301.0,301.0,301.0
22:54:37,111,3,216.0,214.0,231.0,231.0,231.0
22:54:38,129,1,244.0,244.0,244.0,244.0,244.0
22:54:38,101,42,244.1904761904762,239.5,267.8,353.0,353.0
22:54:38,103,40,227.525,215.0,279.9,482.0,482.0
22:54:38,109,1,248.0,248.0,248.0,248.0,248.0
22:54:38,111,1,202.0,202.0,202.0,202.0,202.0
22:54:39,129,1,298.0,298.0,298.0,298.0,298.0
22:54:39,101,45,241.75555555555556,244.0,264.4,280.0,280.0
22:54:39,103,42,210.3095238095238,209.0,236.80000000000004,281.0,281.0
22:54:39,109,1,244.0,244.0,244.0,244.0,244.0
22:54:39,111,1,197.0,197.0,197.0,197.0,197.0
22:54:40,101,41,247.53658536585365,244.0,290.4000000000001,329.0,329.0
22:54:40,103,40,220.775,213.5,260.0,396.0,396.0
22:54:40,109,3,259.3333333333333,248.0,288.0,288.0,288.0
22:54:40,111,1,279.0,279.0,279.0,279.0,279.0
22:54:41,101,52,241.94230769230768,240.0,263.90000000000003,355.0,355.0
22:54:41,103,47,215.5531914893617,212.0,249.20000000000005,330.0,330.0
22:54:42,101,54,241.44444444444446,242.0,264.5,353.0,353.0
22:54:42,103,61,214.2622950819672,210.0,252.4,295.0,295.0
22:54:42,111,1,236.0,236.0,236.0,236.0,236.0
22:54:43,101,48,239.3125,239.0,266.0,322.0,322.0
22:54:43,103,50,210.4,209.0,232.8,272.0,272.0
22:54:44,129,1,243.0,243.0,243.0,243.0,243.0
22:54:44,101,46,236.8695652173913,238.5,262.5,314.0,314.0
22:54:44,103,44,212.6818181818182,210.0,248.0,330.0,330.0
22:54:44,109,1,231.0,231.0,231.0,231.0,231.0
22:54:44,111,2,217.5,217.5,219.0,219.0,219.0
22:54:45,129,3,285.0,295.0,304.0,304.0,304.0
22:54:45,101,66,245.9090909090909,240.0,283.6,384.0,384.0
22:54:45,103,63,222.6031746031746,214.0,278.6,365.0,365.0
22:54:45,109,13,262.15384615384613,250.0,318.2,321.0,321.0
22:54:45,111,21,255.85714285714286,241.0,303.2,507.0,507.0
22:54:46,101,47,239.5531914893617,245.0,264.2,271.0,271.0
22:54:46,103,47,218.38297872340425,209.0,264.40000000000003,488.0,488.0
22:54:46,109,17,250.8235294117647,248.0,264.2,289.0,289.0
